T,Total Demand,EES_PV,EES_Wind
t1,2529.9999999999995,0.0,29.50000000018902
t2,2310.0,60.799999999999386,96.000000000189
t3,2200.0,127.29999999999939,162.500000000189
t4,2200.0,193.7999999999994,229.000000000189
t5,2090.0,260.2999999999994,295.500000000189
t6,2090.0,326.7999999999994,362.000000000189
t7,2310.0,393.2999999999994,428.500000000189
t8,2529.9999999999995,393.2999999999994,443.30515047911075
t9,2750.0,393.2999999999994,443.30515047911075
t10,2860.0,393.2999999999994,412.6810535000153
t11,2970.0000000000005,319.61578947368355,338.99684297369953
t12,3080.0000000000005,245.93157894736777,265.31263244738375
t13,3080.0000000000005,172.247368421052,191.62842192106794
t14,2970.0000000000005,172.247368421052,134.72654389201747
t15,2860.0,237.32236842105118,134.72654389201747
t16,2860.0,248.43736842105034,134.72654389201747
t17,2750.0,314.93736842105034,201.22654389201747
t18,2750.0,314.93736842105034,201.22654389201747
t19,2970.0000000000005,241.25315789473456,147.36842105263156
t20,3190.000000000001,167.56894736841878,73.68421052631578
t21,3190.000000000001,93.88473684210301,0.0
t22,2970.0000000000005,20.20052631578723,0.0
t23,2750.0,0.0,0.0
t24,2640.0,0.0,0.0
